probe,measured_request_count,event_count,ttft_p95_ms,latency_p95_ms,dominant_bottleneck,dominant_count,prefill_p95_ms,decode_p95_ms,streaming_p95_ms,missing_event_rate_p95,timer_view,next_action,trace_evidence_label,diagnosis_evidence_label,trace_parent_commit,diagnosis_parent_commit,trace_result_dir,diagnosis_result_dir
Normal proxy,12,117,85.76324677560478,183.36257545743138,decode,12,85.50123434979469,98.74968051444739,0.0,0.0,TTFT and latency both stay sub-200 ms.,Validate decode and prefill spans with internal runtime hooks.,existing-server-probe,derived-artifact,7d4c65e516ea560cafe5d669e254d81f02680afd,f648c44f50fe3a0cda890a37b222dd55e967d4e4,npu6_existing_server_trace_probe_repeated_smoke,npu6_trace_diagnosis
Slow-stream proxy,4,45,81.14030284341425,5208.195934002288,streaming,4,80.86471350397915,0.0,5127.0888038678095,0.0,TTFT stays low while end-to-end latency rises to seconds.,Test streaming backpressure isolation before tuning prefill/decode.,existing-server-probe,derived-artifact,6cdbdc95a2fddce053c5d2207bede339d2c49884,1a0f81407b824cd195ff40eeb8f2380d1b8c7461,npu6_existing_server_slow_stream_trace_smoke,npu6_slow_stream_trace_diagnosis
