concurrency,measured_chain_count,prompt_token_values,generation_token_values,cached_ratio_p50,prefill_p50_ms,prefill_p95_ms,prefill_max_ms,queueing_p95_ms,decode_p95_ms,prefill_outlier_count,evidence_label,parent_commit,result_dir,claim_boundary
1,9,2335,8,0.9867237687366167,64.78249311447144,150.30548763275146,150.5027732849121,2.080886936187744,105.03427991867065,0,derived-artifact,f648c44f50fe3a0cda890a37b222dd55e967d4e4,npu6_runtime_hooks_concurrency_sweep/concurrency_anomaly_analysis,Post-hoc analysis of checked-in NPU6 runtime hook traces. It localizes the observed tail to lifecycle spans and metadata already emitted by the runtime hooks; it does not yet prove the sub-stage root cause inside prefill.
2,9,2335,8,0.9867237687366167,98.66607522964478,12261.982732391356,12277.615494728088,48.142579078674316,108.71475811004638,2,derived-artifact,f648c44f50fe3a0cda890a37b222dd55e967d4e4,npu6_runtime_hooks_concurrency_sweep/concurrency_anomaly_analysis,Post-hoc analysis of checked-in NPU6 runtime hook traces. It localizes the observed tail to lifecycle spans and metadata already emitted by the runtime hooks; it does not yet prove the sub-stage root cause inside prefill.
3,9,2335,8,0.9867237687366167,66.37979316711426,106.94362392425538,107.34905052185059,49.71117877960205,110.90445051193237,0,derived-artifact,f648c44f50fe3a0cda890a37b222dd55e967d4e4,npu6_runtime_hooks_concurrency_sweep/concurrency_anomaly_analysis,Post-hoc analysis of checked-in NPU6 runtime hook traces. It localizes the observed tail to lifecycle spans and metadata already emitted by the runtime hooks; it does not yet prove the sub-stage root cause inside prefill.
